station_id,name,latitude,longitude,address,city,state,country,operator_name,network_name,access_type,opening_hours,status,connector_type,power_kw,current_type,connector_count,payment_modes,amenities,source_name,source_external_id,source_license,confidence_score,last_verified_at
osm-unknown-0,Tata Power,17.710847,83.3011276,,,,India,tata power,,public,,operational,unknown,,,50,,,openstreetmap,unknown/0,ODbL,45,2026-07-20T07:01:46Z
osm-unknown-0,KSEB charging station,8.8926952,76.5790255,,,,India,Kerala State Electricity Board,,public,,operational,unknown,,,2,,,openstreetmap,unknown/0,ODbL,45,2026-07-20T07:01:46Z
osm-unknown-0,KEL Charging Station,9.9488824,76.383094,,,,India,,,public,,operational,unknown,,,1,,,openstreetmap,unknown/0,ODbL,45,2026-07-20T07:01:46Z
osm-unknown-0,Electric Vehicle Charging Station,8.4810673,76.9126537,,,,India,,,public,,operational,unknown,,,1,,,openstreetmap,unknown/0,ODbL,45,2026-07-20T07:01:46Z
osm-unknown-0,ELECTRICITY HOUSE,27.8943813,78.0735323,,,,India,,,public,,operational,unknown,,,1,,,openstreetmap,unknown/0,ODbL,45,2026-07-20T07:01:46Z
osm-unknown-0,Tata Motors True Sai Works FC,11.6828829,78.1260507,,,,India,Tata Power EZ Charge,,unknown,,operational,unknown,,,25,,,openstreetmap,unknown/0,ODbL,45,2026-07-20T07:01:46Z
osm-unknown-0,Zeon Charging Navakkarai,10.8559725,76.8624485,,,,India,Zeon,,public,,operational,unknown,,,50,,,openstreetmap,unknown/0,ODbL,45,2026-07-20T07:01:46Z
osm-unknown-0,Plug N Go,28.6214714,77.2936333,,,,India,,,public,,operational,unknown,,,1,,,openstreetmap,unknown/0,ODbL,45,2026-07-20T07:01:46Z
osm-unknown-0,Ather Energy Charging Point,9.9804506,76.317433,,,,India,,,public,,operational,unknown,,,1,,,openstreetmap,unknown/0,ODbL,45,2026-07-20T07:01:46Z
osm-unknown-0,Unnamed charging station (India),28.5288838,77.2137728,,,,India,,,public,,operational,unknown,,,1,,,openstreetmap,unknown/0,ODbL,45,2026-07-20T07:01:46Z
osm-unknown-0,Ather Charging Grid,12.975668,77.6413089,,,,India,Ather Energy,,public,,operational,unknown,,,8,,,openstreetmap,unknown/0,ODbL,45,2026-07-20T07:01:46Z
osm-unknown-0,veev,11.3300012,76.902597,,,,India,veev,,public,24/7,operational,unknown,,,1,,,openstreetmap,unknown/0,ODbL,45,2026-07-20T07:01:46Z
osm-unknown-0,srt tata ev charging station,11.022897,76.9515473,,,,India,tata power,,public,24/7,operational,unknown,,,2,,,openstreetmap,unknown/0,ODbL,45,2026-07-20T07:01:46Z
osm-unknown-0,Fortum EV Charger,19.2329576,72.9760606,,,,India,Fortum,,public,,operational,unknown,,,1,,,openstreetmap,unknown/0,ODbL,45,2026-07-20T07:01:46Z
osm-unknown-0,Unnamed charging station (India),28.630944,77.2233578,,,,India,,,public,,operational,unknown,,,1,,,openstreetmap,unknown/0,ODbL,45,2026-07-20T07:01:46Z
